# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 22.761
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page - canopy normal data
t,V,vN,vE,vD,cnN,cnE,cnD,qbar,rho
46.8,15.17,-11.92,4.81,8.06,-0.327,-1.295,-2.686,115.8,1.0060
47.0,15.15,-11.91,3.99,8.46,-0.242,-1.599,-2.527,115.4,1.0062
47.2,15.17,-11.90,2.96,8.93,-0.149,-1.856,-2.353,115.8,1.0063
47.4,15.18,-11.76,1.72,9.45,-0.020,-2.054,-2.187,116.0,1.0065
47.6,15.29,-11.61,0.38,9.95,0.110,-2.142,-2.097,117.7,1.0067
47.8,15.40,-11.31,-1.14,10.39,0.208,-2.141,-2.091,119.5,1.0069
48.0,15.54,-10.96,-2.66,10.70,0.300,-2.089,-2.132,121.6,1.0071
48.2,15.68,-10.56,-4.22,10.80,0.386,-2.008,-2.195,123.8,1.0074
48.4,15.85,-10.08,-5.73,10.81,0.478,-1.914,-2.260,126.5,1.0076
48.6,16.01,-9.47,-7.27,10.67,0.569,-1.788,-2.341,129.1,1.0078
48.8,16.13,-8.78,-8.70,10.37,0.629,-1.655,-2.422,131.2,1.0080
49.0,16.18,-8.05,-9.96,9.88,0.668,-1.469,-2.529,131.9,1.0082
49.2,16.29,-7.29,-11.25,9.26,0.706,-1.239,-2.639,133.9,1.0084
49.4,16.18,-6.52,-12.08,8.57,0.717,-0.948,-2.754,132.0,1.0086
49.6,15.88,-5.70,-12.60,7.80,0.692,-0.618,-2.853,127.2,1.0088
49.8,15.41,-5.02,-12.83,6.92,0.605,-0.346,-2.918,119.9,1.0089
50.0,14.87,-4.41,-12.84,6.05,0.516,-0.093,-2.954,111.5,1.0090
50.2,14.25,-3.99,-12.67,5.16,0.468,0.180,-2.958,102.4,1.0092
50.4,13.47,-3.52,-12.24,4.37,0.435,0.522,-2.922,91.6,1.0093
50.6,12.48,-3.08,-11.48,3.79,0.451,0.870,-2.835,78.6,1.0093
50.8,11.15,-2.70,-10.34,3.16,0.485,1.199,-2.707,62.7,1.0094
51.0,9.72,-2.21,-9.08,2.69,0.634,1.437,-2.556,47.7,1.0094
51.2,8.47,-1.73,-7.76,2.92,0.831,1.558,-2.425,36.2,1.0095
51.4,7.25,-0.87,-6.48,3.13,0.960,1.564,-2.373,26.5,1.0095
51.6,6.28,-0.10,-5.34,3.30,0.964,1.418,-2.462,19.9,1.0096
51.8,5.36,0.62,-4.19,3.28,0.825,1.291,-2.579,14.5,1.0097
52.0,4.69,1.24,-3.30,3.10,0.668,1.132,-2.697,11.1,1.0097
52.2,3.96,1.72,-2.29,2.74,0.455,0.962,-2.805,7.9,1.0098
52.4,3.43,2.06,-1.58,2.24,0.214,0.778,-2.890,5.9,1.0099
52.6,2.84,2.09,-0.97,1.66,-0.042,0.544,-2.950,4.1,1.0099
52.8,2.28,1.93,-0.61,1.05,-0.242,0.375,-2.967,2.6,1.0099
