# vehicle: unknown
# date: 2019-07-17
# pilot_mass_kg: 77.5
# wing_area_m2: 2
# segment: speed_page_export
# source: cloudbase_speed_page
# gps_rate_hz: 5
# notes: Exported from CloudBASE speed page with wind correction
# enhanced_by: polar-visualizer/gps-beta-enhance
# mode: wingsuit
# polar: a5segments
# beta_source: lateral_force_equilibrium
t,V,alpha,beta,gamma,phi,theta,theta_corr,psi,psi_corr,p,q,r,p_corr,q_corr,r_corr,CL,CD,qbar,rho
21.00,58.24,4.97,0.9083,-22.82,-30.80,-18.55,-18.09,201.3,202.1,-10.03,7.98,-5.31,-10.13,8.18,-5.82,0.320811,0.128185,1587.3,0.9360
21.20,57.96,5.55,0.8124,-22.36,-31.94,-17.65,-17.22,199.4,200.1,-6.91,8.49,-5.26,-6.96,8.49,-5.66,0.335970,0.129323,1573.1,0.9365
21.40,57.66,5.98,0.7134,-21.83,-32.43,-16.78,-16.40,197.6,198.2,-4.47,8.26,-5.25,-4.53,8.30,-5.73,0.349106,0.128745,1557.2,0.9369
21.60,57.34,6.24,0.6285,-21.24,-32.66,-15.99,-15.65,195.7,196.2,-3.15,7.64,-5.20,-3.22,7.74,-5.71,0.357106,0.128532,1540.7,0.9373
21.80,57.04,6.32,0.5668,-20.65,-32.71,-15.33,-15.03,194.0,194.5,-2.71,6.38,-5.25,-2.67,6.31,-5.33,0.359114,0.126862,1525.2,0.9377
22.00,56.71,6.15,0.5506,-20.14,-32.88,-14.98,-14.68,192.5,193.0,-2.58,5.07,-5.31,-2.56,5.09,-5.37,0.355994,0.125324,1508.5,0.9380
22.20,56.42,5.81,0.5585,-19.66,-32.97,-14.78,-14.48,191.0,191.5,-2.14,3.89,-5.39,-2.12,3.96,-5.39,0.348004,0.122410,1493.8,0.9384
22.40,56.13,5.30,0.5992,-19.29,-33.04,-14.85,-14.52,189.7,190.2,-1.83,2.38,-5.39,-1.74,2.38,-5.10,0.334145,0.118911,1479.1,0.9388
22.60,55.89,4.63,0.6715,-19.04,-33.09,-15.16,-14.79,188.6,189.2,-1.46,0.82,-5.36,-1.30,0.77,-4.83,0.311883,0.115151,1466.8,0.9391
22.80,55.65,3.89,0.7743,-19.00,-33.09,-15.74,-15.32,187.7,188.4,-2.03,-0.59,-5.44,-1.81,-0.67,-4.73,0.287971,0.110655,1455.0,0.9395
23.00,55.48,3.15,0.9095,-19.18,-33.42,-16.55,-16.05,186.9,187.7,-3.29,-0.66,-5.47,-3.15,-0.57,-4.96,0.267103,0.107322,1446.3,0.9398
23.20,55.36,2.75,1.0149,-19.45,-33.91,-17.17,-16.60,185.9,186.8,-5.00,0.76,-5.56,-4.85,0.83,-5.10,0.255264,0.105090,1440.6,0.9402
23.40,55.25,2.75,1.0848,-19.79,-34.80,-17.53,-16.91,184.8,185.7,-6.85,2.46,-5.73,-6.67,2.49,-5.36,0.253667,0.106693,1435.3,0.9405
23.60,55.13,3.02,1.1173,-20.11,-35.87,-17.67,-17.01,183.4,184.3,-6.58,4.34,-5.85,-6.53,4.49,-5.97,0.260361,0.111701,1429.8,0.9409
23.80,54.97,3.62,1.0823,-20.41,-36.50,-17.50,-16.86,181.7,182.6,-4.15,6.25,-5.87,-4.20,6.37,-6.37,0.277055,0.118927,1422.0,0.9412
24.00,54.76,4.43,0.9824,-20.62,-36.47,-17.05,-16.47,179.8,180.6,-1.24,8.33,-5.64,-1.33,8.39,-6.42,0.301634,0.127730,1411.8,0.9416
24.20,54.50,5.47,0.8015,-20.59,-35.83,-16.16,-15.69,177.7,178.4,1.14,10.06,-5.31,1.05,9.96,-6.21,0.331474,0.135273,1399.1,0.9420
24.40,54.18,6.49,0.6022,-20.37,-34.83,-15.03,-14.70,175.6,176.1,3.09,10.79,-5.03,2.98,10.64,-5.94,0.362458,0.141596,1383.3,0.9424
24.60,53.85,7.43,0.4038,-19.97,-33.49,-13.77,-13.55,173.5,173.8,5.49,10.71,-4.68,5.30,10.77,-5.70,0.390188,0.146436,1366.7,0.9427
24.80,53.47,8.12,0.2400,-19.40,-31.68,-12.49,-12.36,171.5,171.7,8.49,10.04,-4.06,8.37,10.04,-4.83,0.413403,0.150023,1348.1,0.9431
25.00,53.06,8.55,0.1153,-18.66,-29.32,-11.21,-11.15,169.9,170.0,11.25,9.00,-3.35,11.21,8.85,-3.69,0.429890,0.152171,1328.0,0.9434
25.20,52.62,8.72,0.0344,-17.81,-26.60,-10.01,-10.00,168.6,168.6,13.44,7.24,-2.67,13.38,7.25,-2.98,0.436013,0.152285,1306.5,0.9437
25.40,52.18,8.55,0.0033,-16.93,-23.55,-9.09,-9.09,167.6,167.6,15.37,5.19,-2.00,15.36,5.19,-2.13,0.431442,0.150401,1285.2,0.9440
25.60,51.74,8.20,-0.0010,-16.13,-20.20,-8.43,-8.43,167.0,167.0,17.08,3.72,-1.28,17.08,3.71,-1.28,0.419547,0.147908,1264.1,0.9443
25.80,51.32,7.86,-0.0019,-15.41,-16.57,-7.87,-7.88,166.6,166.6,18.52,2.71,-0.56,18.49,2.77,-0.72,0.405392,0.145832,1244.0,0.9446
26.00,50.91,7.52,0.0003,-14.79,-12.72,-7.46,-7.45,166.4,166.4,18.85,2.27,0.08,18.86,2.29,0.01,0.394586,0.144090,1224.2,0.9449
26.20,50.49,7.35,-0.0033,-14.24,-9.00,-6.98,-6.98,166.4,166.4,18.09,2.16,0.63,18.11,2.12,0.83,0.387611,0.143093,1204.6,0.9451
